,Title,Authors,id,Document Type,Source,Keywords
0,Innovative Strategies for Overall Water Splitting Using Nanostructured Transition Metal Electrocatalysts,"Shen, Pei Kang",WOS:000869846700001,Review,ELECTROCHEMICAL ENERGY REVIEWS,Basic electrochemistry
1,Thiourea-Assisted Facile Fabrication of High-Quality CsPbBr3 Perovskite Films for High-Performance Solar Cells,"Wang, Guiqiang",WOS:000883714800001,Article,ACS APPLIED MATERIALS & INTERFACES,photovoltaic performance
2,Influence of Nanoscopic Micellar Confinements and Rotational Dynamics of Anticancer Drug Doxorubicin,"Wang, Guiqiang",WOS:000843670200002,Article,PHYSICAL CHEMISTRY RESEARCH,Rotational relaxation
3,Sol-Gel Finishing for Protective Fabrics,"Zulkifli, Noreen Farzuhana",WOS:000847220500015,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,water and solvent-based sol-gel
4,Removing Non-Biodegradable Toxic Ions via Bio- Oxidation Analysis in Anzali Lagoon: A Usage of Seaweed in Biodiversity,"Kucuk, Omer",WOS:000847220500006,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,toxic oxide ions
5,Biointerfrence between Zinc Oxide/Alginate Nanocomposites and Freshwater Bivalve,"Saad, Dalia Y.",WOS:000838722800037,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,oxidative stress
6,Ginger Compress Therapy - A Painless Solution for Kidney Failure Patients,"Sundar, Krishnan",WOS:000838722800020,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,Zingiber officinale
7,Adsorption and Reusability Performances of Ni/Al Layered Double Hydroxide for the Removal of Eriochrome Black T dye,"Barka, Noureddine",WOS:000838722800025,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,adsorption
8,"LP-SBA-15/Ketorolac Nanocomposite: Development, Characterization, and Mathematical Modeling of Controlled Keto Release","Anunziata, Oscar A.",WOS:000838722800003,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,nanoscale medicine
9,Eradication of Microplastics in Wastewater Treatment: Overview,"Sankhla, Mahipal Singh",WOS:000838141700011,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,Bioremediation
10,Experimental Investigations of Thermophysical Properties and Convective Heat Transfer of Al2O3 and CuO Nanofluids in a Copper Tube: Proposing New Correlations,"Kumar, Ashwini",WOS:000838141700009,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,pressure drop
11,Metal-Organic Frameworks Driven Electrocatalytic and Photocatalytic Hydrogen Production: A Mini-Review,"Kumar, Ashwini",WOS:000838141700005,Review,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,hydrogen energy
12,Physicochemical and Antioxidant Properties of Germinated Soybean Tempe after Two Days Additional Fermentation Time,"Wresdiyati, Tutik",WOS:000838141700023,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,texture analyzer
13,In silico Study of Coumarins Derivatives With Potential Use in Systemic Diseases,"Sandoval-Ramirez, Jesus",WOS:000838141700035,Article,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,diseases
14,Flocculation of Clay Suspensions Using Copolymers Based on Acrylamide and Biopolymer,"Tennouga, L.",WOS:000842969000002,Article,PHYSICAL CHEMISTRY RESEARCH,Kaolin
15,Bio-sorption of As(V) from Aqueous Solutions by Thuja Occidentalis Leaves Activated Carbon@Al Embedded Material,"Lakshmiprasad, M.",WOS:000842969000007,Article,PHYSICAL CHEMISTRY RESEARCH,TOLC@Al
16,"Chemical components of PM2.5 in different seasons in Harbin, China","Cheng, Yuan",WOS:000863980700004,Article,PARTICUOLOGY,Secondary formation
17,Fabrication porous adsorbents templated from aqueous foams using astragalus membranaceus and attapulgite as stabilizer for efficient removal of cationic dyes,"Wang, Aiqin",WOS:000862522200001,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Biochar
18,Screening ionic liquids for efficiently extracting perfluoroalkyl chemicals (PFACs) from wastewater,"Crittenden, John C.",WOS:000862522200002,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Liquid-liquid extraction
19,Catalytic destruction of chlorobenzene over K-OMS-2: Inhibition of high toxic byproducts via phosphate modification,"Wu, Zhongbiao",WOS:000856869300001,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Secondary pollution
20,Multiple evaluations of atmospheric behavior between Criegee intermediates and HCHO: Gas-phase and air-water interface reaction,"Wang, Rui",WOS:000835729900010,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Chemical processes
21,Heterogeneous uptake of NO2 by sodium acetate droplets and secondary nitrite aerosol formation,"Zhang, Yun-Hong",WOS:000835729900011,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Uptake coefficient
22,Spatial distribution of bacterial resistance towards antibiotics of rural sanitation system in China and its potential link with diseases incidence,"Xu, Yan",WOS:000835729900015,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Rural area
23,Abiotic transformation of synthetic progestins in representative soil mineral suspensions,"Li, Yongtao",WOS:000835729900016,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Oxidation
24,Effects of heterogeneousreaction with NO(2 )on ice nucleation activities of feldspar and Arizona Test Dust,"Tang, Mingjin",WOS:000835729900002,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Aerosol-cloud interaction
25,A database of modeled gridded dry deposition velocities for 45 gaseous species and three particle size ranges across North America,"Kharol, Shailesh",WOS:000835729900006,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Spatiotemporal distribution
26,Enhancement of methanogenic activity by micronutrient control: Micronutrient availability in relation to sulfur transport,"Chavadej, Sumaeth",WOS:000832269300002,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Sulfur transport
27,Kinetics and capacities of non-reactive phosphorus (NRP) sorption to crushed autoclaved aerated concrete (CAAC),"Lu, Xiwu",WOS:000832269300007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Wastewater treatment
28,Root exudates increased arsenic mobility and altered microbial community in paddy soils,"Xu, Jianming",WOS:000829121900001,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Microbial community
29,Toxicity assessment of polyethylene microplastics in combination with a mix of emerging pollutants on Physalaemus cuuieri tadpoles,"Malafaia, Guilherme",WOS:000829121900006,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Biomarkers
30,Toxicity mechanisms and bioavailability of copper to fish based on an adverse outcome pathway analysis,"Jin, Xiaowei",WOS:000829121900008,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Risk assessment
31,Abiotic and biotic constituents of oil sands process-affected waters,"Stafford, James L.",WOS:000829122100014,Review,JOURNAL OF ENVIRONMENTAL SCIENCES,Bioremediation
32,Seasonal variations of microbial community and antibiotic resistome in a suburb drinking water distribution system in a northern Chinese city,"Xie, Shuguang",WOS:000829121700010,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Mobile genetic elements
33,Perfluoroalkyl acid transformation and mitigation by nNiFe-activated carbon nanocomposites in steady-state flow column studies,"Lee, Linda S.",WOS:000829121700007,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Groundwater
34,Facile synthesis of NiAl2O4/g-C3N4 composite for efficient photocatalytic degradation of tetracycline,"Chen, Fu",WOS:000829121700009,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Antibiotic
35,"Risk assessment and identification of factors influencing the historical concentrations of microcystin in Lake Taihu, China","Xie, Liqiang",WOS:000829122100001,Article,JOURNAL OF ENVIRONMENTAL SCIENCES,Lake Taihu
