Title,authors,dbid
A fresh look on the morphology of Azaniadendron Rayner: a ligulate lycopsid from the Permian of Gondwana br,"Uhl, Dieter",WOS:000877800600001
How Social Movements (Sometimes) Matter,"Uhl, Dieter",WOS:000875842400026
"Identifying Child Anxiety Through Schools-identification to intervention (iCATS-i2i): protocol for a cluster randomised controlled trial to compare screening, feedback and intervention for child anxiety problems to usual school practice","Creswell, Cathy",WOS:000871193100017
Can third-body stabilisation of bimolecular collision complexes in cold molecular clouds happen?,"Galvao, Breno R. L.",WOS:000869557900001
The master equation: general discussion,"Zhang, Rui Ming",WOS:000866010900001
The Sacramental Vision of Edward Bouverie Pusey,"Zhang, Rui Ming",WOS:000866043800001
Inefficient intramolecular vibrational energy redistribution for the H + HO2 reaction and negative internal energy dependence for its rate constant,"Sivaramakrishnan, Raghu",WOS:000874158800001
Collisional energy transfer: general discussion,"Zador, Judit",WOS:000864122100001
3-Dimensional Exoscope for Far Lateral Approach to Pontomedullary Cavernous Malformation,"Eskandari, Ramin",WOS:000874760400002
Life cycle assessment (LCA) of a battery home storage system based on primary data,"Weil, Marcel",WOS:000828185600003
"Influence of open cast mining on radiological health risk of agricultural soils around Adudu lead-zinc mine, Nasarawa State, Nigeria","Orunsami, Samson Tomi",WOS:000857406500001
Haemodynamic stroke in a rare adult presentation of osteopetrosis,"Lionel, Sharon Anbumalar",WOS:000863480100010
Dysregulated Neutrophil Phenotype and Function in Hospitalised Non-ICU COVID-19 Pneumonia,"Scott, Aaron",WOS:000857674900001
Vasculogeriatrics: embracing shared care with our colleagues in geriatric medicine should not be a threat,"Chan, Kien",WOS:000853005100008
Formation of phosphorus monoxide through the P(S-4) + O-2((3)Sigma(-)) -> O(P-3) + PO((2)Pi) reaction,"Galvao, Breno R. L.",WOS:000842541600002
Differences in moral judgment predict behavior in a Covid triage game scenario,"Gugle, Brelaina",WOS:000821656500006
Comparison of Low-Dose Promethazine and Dexamethasone against Ondansetron Monotherapy Given as Antiemetic Prophylaxis during Myomectomy Under Spinal Anesthesia: A Randomized Clinical Trial,"Edomwonyi, Philomina Nosa",WOS:000861322700001
A reaction mechanism for ozone dissociation and reaction with hydrogen at elevated temperature,"Glarborg, Peter",WOS:000807374400005
Bede and the beginnings of English racism,"Glarborg, Peter",WOS:000842547500001
Identifying Child Anxiety Through Schools-identification to intervention (iCATS-i2i): protocol for single-arm feasibility trial,"Creswell, Cathy",WOS:000838630300002
On the relation between decision quality and autonomy in times of patient-centered care: a case study,"Creswell, Cathy",WOS:000837929000001
A novel ROA optimized Bi-LSTM based MPPT controller for grid connected hybrid solar-wind system,"Jasper, J.",WOS:000835852000001
Impact of Grade on Survival in Pleomorphic Xanthoastrocytoma and Low Prevalence of BRAF V600E Mutation,"Chacko, Geeta",WOS:000863280500028
The Power Dynamics and Stakeholder Effects in the Legislative Process of Philanthropy Lawmaking in China,"Jasper, Cynthia R.",WOS:000844445700001
The incidence of cervical cancer in women with postcoital bleeding and abnormal appearance of the cervix referred through the 2-week wait pathway in the United Kingdom: A retrospective cohort study,"Haldar, Krishnayan",WOS:000833426200001
SNAPSHOT USA 2020: A second coordinated national camera trap survey of the United States during the COVID-19 pandemic,"McShea, William J.",WOS:000830409400001
Supporting Rehabilitation of Rural Patients Receiving Total Knee Arthroplasty Through Physical Activity: Perceptions of Stakeholder Groups,"Jones, C. Allyson",WOS:000828508500001
Current Studies and Evidence in Cholangiocarcinoma,"Marquardt, Jens U.",WOS:000828306900002
A Systematic Review of Crohn's Disease Case Definitions in Administrative or Claims Databases,"Brant, Steven R.",WOS:000827770200001
Latent class analysis to characterize neonatal risk for neurodevelopmental differences,"Ryckman, Kelli K.",WOS:000825270400001
Eye signs in a child with ROBO3 gene mutation,"Selvin, Satheesh Solomon T.",WOS:000860471400092
Iris Murdoch and the Others: A Writer in Dialogue with Theology,"Selvin, Satheesh Solomon T.",WOS:000826984900019
"Herbage Mass, N Concentration, and N Uptake of Temperate Grasslands Can Adequately Be Estimated from UAV-Based Image Data Using Machine Learning","Bareth, Georg",WOS:000825670200001
"Women and Gender in the Bible: Texts, Intersections, Intertexts","Bareth, Georg",WOS:000819533400001
Exploring the perspectives of clinicians on solutions to tackling physical inactivity and sedentary behaviour in older hospital patients,"Jadczak, Agathe Daria",WOS:000818993800001
"Genome-wide SNPs of vegetable leafminer, Liriomyza sativae: Insights into the recent Australian invasion","Hoffmann, Ary A.",WOS:000817082400001
Monoanionic C boolean AND N boolean AND N Luminophores and Monodentate C-Donor Co-Ligands for Phosphorescent Pt(II) Complexes: A Case Study Involving Their Photophysics and Cytotoxicity,"Strassert, Cristian A.",WOS:000814188000001
Designing chemistry classes for groups with diverse learners - an exemplary lesson for the ChemDive planning model,"Melle, Insa",WOS:000811266600026
Parthenogenesis without costs in a grasshopper with hybrid origins,"Hoffmann, Ary A.",WOS:000806053500046
Whole genome sequencing for rare variants and imaging analyses in model organisms identify SLC16A8 as a significant contributor for AMD risk,"Yaspan, Brian",WOS:000844401301157
The importance of Slc16a8 in light-induced retinal degeneration,"Chaney, Shawnta Y.",WOS:000844437000158
"Further evidence for Cretaceous wildfires: macro-charcoal from the Malha Formation at Wadi Budra, west-central Sinai, Egypt","Uhl, D.",WOS:000829537100005
